vehicle_count,udp_share_pct_baseline_mean,udp_share_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_std,policy_reaction_ms_sdnv_mean,policy_reaction_ms_sdnv_std,priority_enforcement_ratio_baseline_mean,priority_enforcement_ratio_sdnv_mean,emapt_50_baseline_mean,emapt_50_sdnv_mean,emapt_90_baseline_mean,emapt_90_sdnv_mean,emapt_100_baseline_mean,emapt_100_sdnv_mean
5,18.038054012610054,68.0234570825389,89.65282706782882,0.17857765114808047,1257.8662000000002,200.32291503270403,0.11003133536559409,1.0636552323737187,5.7818,111.7636,7.8222000000000005,113.838,8.9624,123.2774
10,18.129662310570573,67.75295627832242,89.45992959832225,0.15523191285179802,2491.4647999999997,168.14784766300144,0.11076853761547774,1.0509616609703707,9.2326,111.5082,18.9978,132.2308,226.12359999999998,139.5434
15,18.349107090088165,67.69209011957973,89.27057714415041,0.0657250374596246,3727.1706,144.93465312098414,0.11233979200037188,1.0476655086226674,27.8942,99.5268,33.8384,122.7992,686.5078,176.1278
20,21.025268889764124,67.47467931767129,86.95429232741834,1.3318753800548535,6766.3472,1347.7247106800783,0.1334247189154488,1.0353584186919047,43.453,81.2344,100.7386,111.5794,654.0427999999999,133.0492
