vehicle_count,emergency_latency_avg_ms_baseline_mean,emergency_latency_avg_ms_baseline_std,emergency_latency_avg_ms_sdnv_mean,emergency_latency_avg_ms_sdnv_std,emergency_latency_avg_ms_unit,background_latency_avg_ms_baseline_mean,background_latency_avg_ms_baseline_std,background_latency_avg_ms_sdnv_mean,background_latency_avg_ms_sdnv_std,background_latency_avg_ms_unit,primary_udp_bw_mbps_baseline_mean,primary_udp_bw_mbps_baseline_std,primary_udp_bw_mbps_sdnv_mean,primary_udp_bw_mbps_sdnv_std,primary_udp_bw_mbps_unit,helper_udp_bw_mbps_baseline_mean,helper_udp_bw_mbps_baseline_std,helper_udp_bw_mbps_sdnv_mean,helper_udp_bw_mbps_sdnv_std,helper_udp_bw_mbps_unit,local_tcp_bw_mbps_baseline_mean,local_tcp_bw_mbps_baseline_std,local_tcp_bw_mbps_sdnv_mean,local_tcp_bw_mbps_sdnv_std,local_tcp_bw_mbps_unit,udp_bw_mbps_baseline_mean,udp_bw_mbps_baseline_std,udp_bw_mbps_sdnv_mean,udp_bw_mbps_sdnv_std,udp_bw_mbps_unit,throughput_mbps_baseline_mean,throughput_mbps_baseline_std,throughput_mbps_sdnv_mean,throughput_mbps_sdnv_std,throughput_mbps_unit,udp_share_pct_baseline_mean,udp_share_pct_baseline_std,udp_share_pct_sdnv_mean,udp_share_pct_sdnv_std,udp_share_pct_unit,emapt_50_ms_baseline_mean,emapt_50_ms_baseline_std,emapt_50_ms_sdnv_mean,emapt_50_ms_sdnv_std,emapt_90_ms_baseline_mean,emapt_90_ms_baseline_std,emapt_90_ms_sdnv_mean,emapt_90_ms_sdnv_std,emapt_100_ms_baseline_mean,emapt_100_ms_baseline_std,emapt_100_ms_sdnv_mean,emapt_100_ms_sdnv_std,priority_enforcement_ratio_baseline_mean,priority_enforcement_ratio_baseline_std,priority_enforcement_ratio_sdnv_mean,priority_enforcement_ratio_sdnv_std,traffic_suppression_efficiency_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_std,policy_reaction_ms_sdnv_mean,policy_reaction_ms_sdnv_std
5,3.5368,0.26346859395381456,1.3317999999999999,0.4078274144782324,ms,3.2762000000000002,0.35185749956480966,14.9712,4.571438034141992,ms,9.998,0.004472135954999484,10.0,0.0,mbps,10.0,0.0,10.0,0.0,mbps,23.74,0.4335896677735756,0.09566000000000001,8.944271909999415e-05,mbps,19.998,0.00447213595499869,20.0,0.0,mbps,90.88,1.3160547101089775,9.40166,0.037183437173021375,mbps,18.038054012610054,0.21187478749892263,68.0234570825389,0.08596454543840558,percent,5.7818,2.574594375819228,111.7636,58.812016619054994,7.8222000000000005,4.337007804927263,113.838,58.06093483143377,8.9624,3.73173147479826,123.2774,61.90037609982673,0.11003133536559409,0.0015657188718882968,1.0636552323737187,0.0041971710821707385,89.65282706782882,0.17857765114808047,1257.8662000000002,200.32291503270403
10,4.7547999999999995,0.4063535406514875,1.4412,0.26804607812836956,ms,4.6572,0.5486539893229612,31.0244,45.5806977820656,ms,9.998,0.004472135954999484,9.998,0.004472135954999484,mbps,9.99,0.0,9.99,0.0,mbps,22.62,0.5263078946776296,0.09534000000000001,0.000492950301754656,mbps,19.988000000000003,0.004472135955000279,19.988000000000003,0.004472135955000279,mbps,90.272,1.1673131542135589,9.513340000000001,0.04101149838764803,mbps,18.129662310570573,0.18860605377705297,67.75295627832242,0.09645291205212364,percent,9.2326,3.1859616758523637,111.5082,136.31615600030688,18.9978,10.56106943921874,132.2308,132.47157885259767,226.12359999999998,455.08025076935604,139.5434,130.05948745401082,0.11076853761547774,0.001389500295631482,1.0509616609703707,0.00476146044719826,89.45992959832225,0.15523191285179802,2491.4647999999997,168.14784766300144
15,7.365,0.5207566610231694,2.2576,0.15573310502266363,ms,7.119400000000001,0.9368651450448993,34.3748,52.455401377741836,ms,9.992,0.008366600265340578,9.998,0.004472135954999484,mbps,9.996200000000002,0.0010954451150109413,9.997000000000002,0.0012247448713916355,mbps,21.54,0.23021728866442712,0.09458,0.0023941595602632736,mbps,19.988200000000003,0.008955445270895894,19.995,0.004636809247748155,mbps,88.946,0.44590357702086364,9.543180000000001,0.02541479883847319,mbps,18.349107090088165,0.07007701416564409,67.69209011957973,0.059473205849358,percent,27.8942,30.763551529366698,99.5268,26.382186598157475,33.8384,33.52391075486272,122.7992,22.54024140731416,686.5078,577.4776038433871,176.1278,94.83936524302553,0.11233979200037188,0.0004948309028621736,1.0476655086226674,0.003007974417741866,89.27057714415041,0.0657250374596246,3727.1706,144.93465312098414
20,23.318,8.654039172548273,4.188,2.7226576171086956,ms,23.0846,8.073271288641301,60.825799999999994,68.63629841927666,ms,9.818,0.30776614498674176,9.918,0.17782013384316206,mbps,9.796999999999999,0.41831985370049074,9.955599999999999,0.0869844813745519,mbps,14.802,3.2053892119366716,0.09324,0.002417229819442087,mbps,19.615,0.7256524650271647,19.8736,0.2647816081226189,mbps,74.012,7.182692392132627,9.57904,0.04191554604201241,mbps,21.025268889764124,1.161380380114326,67.47467931767129,0.24376140050046,percent,43.453,27.086632957973936,81.2344,59.67570952070867,100.7386,73.29124695214293,111.5794,62.40968565294973,654.0427999999999,554.2053974116455,133.0492,52.01215066885813,0.1334247189154488,0.010040812005106384,1.0353584186919047,0.016002882624844738,86.95429232741834,1.3318753800548535,6766.3472,1347.7247106800783
