vehicle_count,run,emergency_latency_avg_ms_baseline,emergency_latency_avg_ms_sdnv,background_latency_avg_ms_baseline,background_latency_avg_ms_sdnv,primary_udp_bw_mbps_baseline,primary_udp_bw_mbps_sdnv,helper_udp_bw_mbps_baseline,helper_udp_bw_mbps_sdnv,local_tcp_bw_mbps_baseline,local_tcp_bw_mbps_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,throughput_mbps_baseline,throughput_mbps_sdnv,udp_share_pct_baseline,udp_share_pct_sdnv,priority_enforcement_ratio_baseline,priority_enforcement_ratio_sdnv,traffic_suppression_efficiency_pct_sdnv,policy_reaction_ms_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv
5,1,3.91,1.187,3.062,11.51,10.0,10.0,10.0,10.0,23.6,0.09570000000000001,20.0,20.0,90.19999999999999,9.4257,18.14882032667877,67.96779685784875,0.1108647450110865,1.0609291617598693,89.55022172949,1535.6499999999999,9.76,68.69,9.778,72.08,9.855,92.128
5,2,3.322,1.535,3.015,11.53,10.0,10.0,10.0,10.0,24.2,0.09570000000000001,20.0,20.0,92.10000000000001,9.3757,17.84121320249777,68.0834839680416,0.10857763300760043,1.0665870281685634,89.82008686210641,1345.3090000000002,6.505,90.752,14.442,92.055,15.027,97.733
5,3,3.945,1.17,3.14,126.033,10.0,10.0,10.0,10.0,23.4,0.0902,20.0,20.0,90.1,9.370199999999999,18.165304268846505,68.09623359731974,0.11098779134295228,1.0672130797635058,89.60022197558268,1208.869,4.669,192.879,6.913,194.361,10.904,199.417
5,4,3.615,1.875,2.991,15.795,10.0,10.0,10.0,10.0,24.2,0.09570000000000001,20.0,20.0,92.50000000000001,9.3757,17.777777777777775,68.0834839680416,0.10810810810810809,1.0665870281685634,89.86410810810813,1011.1000000000001,3.406,108.254,3.543,113.551,6.743,116.009
5,5,3.589,1.283,3.729,22.517,10.0,10.0,10.0,10.0,23.4,0.09570000000000001,20.0,20.0,89.69999999999999,9.4557,18.23154056517776,67.89857311148606,0.11148272017837237,1.0575631629599078,89.45852842809363,1136.198,3.666,77.584,5.515,77.822,5.599,79.083
10,1,4.204,1.79,5.256,137.564,9.99,10.0,9.99,9.99,23.0,0.09040000000000001,19.98,19.990000000000002,91.18,9.4304,17.974091399784093,67.94605103941484,0.10956350076771221,1.0604004071937563,89.65738100460626,2866.391,31.382,1634.271,38.005,1652.101,38.667,1664.546
10,2,4.725,1.108,4.683,11.143,10.0,10.0,9.99,9.99,22.4,0.0948,19.990000000000002,19.990000000000002,89.85,9.454799999999999,18.19919883466861,67.88974623702657,0.11129660545353368,1.0576638321275966,89.47712854757928,2526.0099999999998,14.188,43.6,18.344,66.303,22.574,85.532
10,3,4.608,1.283,4.523,11.115,10.0,10.0,9.99,9.99,22.9,0.09570000000000001,19.990000000000002,19.990000000000002,90.25,9.545700000000002,18.133164005805515,67.68080661707695,0.11080332409972299,1.0475921095362308,89.42304709141274,2426.792,10.092,61.436,37.255,86.676,41.374,91.367
10,4,4.167,1.822,4.407,11.312,10.0,10.0,9.99,9.99,23.4,0.09570000000000001,19.990000000000002,19.990000000000002,92.12,9.485700000000001,17.83070198911783,67.8185759795357,0.10855405992184107,1.0542184551482756,89.70288753799392,2317.059,5.931,39.855,10.854,53.62,11.976,60.114
10,5,5.123,1.507,4.109,112.544,9.99,10.0,9.99,9.99,22.1,0.09570000000000001,19.98,19.990000000000002,88.91,9.5357,18.34879235926164,67.70372929346298,0.11236081430660219,1.0486907096490032,89.27488471488022,2425.826,8.766,57.841,13.453,86.697,14.757,89.6
