emapt_50_ms=34.648
emapt_90_ms=131.842
emapt_100_ms=1091.598
coverage_curve_ms,coverage_fraction
21.642,0.053
22.241,0.105
24.822,0.158
25.041,0.211
28.788,0.263
30.089,0.316
32.826,0.368
33.394,0.421
34.648,0.474
37.407,0.526
39.139,0.579
43.023,0.632
112.169,0.684
117.435,0.737
123.424,0.789
128.272,0.842
131.842,0.895
134.851,0.947
1091.598,1.000
