emapt_50_ms=8.766
emapt_90_ms=13.453
emapt_100_ms=14.757
coverage_curve_ms,coverage_fraction
4.533,0.111
5.582,0.222
8.743,0.333
8.766,0.444
10.244,0.556
12.128,0.667
12.500,0.778
13.453,0.889
14.757,1.000
