emapt_50_ms=2072.903
emapt_90_ms=2081.695
emapt_100_ms=2089.585
coverage_curve_ms,coverage_fraction
2056.187,0.071
2059.575,0.143
2064.538,0.214
2064.807,0.286
2069.573,0.357
2071.735,0.429
2072.903,0.500
2073.554,0.571
2074.456,0.643
2077.566,0.714
2078.080,0.786
2081.695,0.857
2085.596,0.929
2089.585,1.000
