vehicles,latency_avg_ms_baseline_mean,latency_avg_ms_baseline_std,latency_avg_ms_sdnv_mean,latency_avg_ms_sdnv_std,latency_avg_ms_unit,jitter_ms_baseline_mean,jitter_ms_baseline_std,jitter_ms_sdnv_mean,jitter_ms_sdnv_std,jitter_ms_unit,udp_bw_mbps_baseline_mean,udp_bw_mbps_baseline_std,udp_bw_mbps_sdnv_mean,udp_bw_mbps_sdnv_std,udp_bw_mbps_unit,throughput_mbps_baseline_mean,throughput_mbps_baseline_std,throughput_mbps_sdnv_mean,throughput_mbps_sdnv_std,throughput_mbps_unit,emapt_50_ms_baseline_mean,emapt_50_ms_baseline_std,emapt_50_ms_sdnv_mean,emapt_50_ms_sdnv_std,emapt_90_ms_baseline_mean,emapt_90_ms_baseline_std,emapt_90_ms_sdnv_mean,emapt_90_ms_sdnv_std,emapt_100_ms_baseline_mean,emapt_100_ms_baseline_std,emapt_100_ms_sdnv_mean,emapt_100_ms_sdnv_std
5,105.4688,143.1675604098219,50.8716,105.85011170187776,ms,1.1002,0.5879525491057931,1.4812,1.0521170087019789,ms,9.994,0.008944271909998969,9.746,0.14240786495134333,mbps,14.762,5.634910824494032,20.02,4.219834119962537,mbps,4.3716,2.152254469155541,8.9518,4.071555071468394,9.588000000000001,4.659433763881617,23.4264,18.304203268648433,197.73579999999998,298.7974034913958,135.4996,162.62780322042107
10,4.6068,0.36744482579021304,57.071600000000004,117.78335778580946,ms,0.9212,0.25099243016473627,1.9154,0.632608330643851,ms,9.99,0.0,9.709999999999999,0.22682592444427538,mbps,18.44,0.642650760522385,19.92,4.151746620399661,mbps,37.5236,19.45211980222207,19.1932,9.739947931072322,163.6136,86.666865509836,127.2344,109.34316782634387,362.48699999999997,376.0427426756166,524.359,564.1266283690214
15,70.2452,141.60800536586905,377.543,272.2646423913689,ms,1.122,0.5692745383380501,1.158,0.7215071032221374,ms,9.986,0.011401754250991138,9.846,0.29534725324607297,mbps,15.792,4.505032741279468,11.434,5.538228958791791,mbps,38.3848,31.48167044011483,33.911,25.377692359629545,393.2832,717.938084488976,411.213,436.8068967776265,1202.2412,335.514027930577,831.636,459.1142075546127
20,180.7828,245.66528712803526,151.5878,200.08867667037032,ms,1.1734,0.4072914190110074,1.7274,0.8438612445183153,ms,9.992,0.008366600265340578,9.686,0.27906988372090585,mbps,13.979999999999999,5.1473245477626515,15.806000000000001,6.891964886735858,mbps,39.8138,32.30571736086354,34.4934,17.41369848136805,902.7968000000001,1210.2976790518107,412.0706,454.3910176195168,1117.1496,1118.2037617215835,816.818,412.62431462651347
