emapt_50_ms=31.503
emapt_90_ms=279.555
emapt_100_ms=1227.492
coverage_curve_ms,coverage_fraction
2.016,0.111
23.408,0.222
28.911,0.333
31.503,0.444
32.734,0.556
43.169,0.667
57.984,0.778
279.555,0.889
1227.492,1.000
