emapt_50_ms=19.984
emapt_90_ms=33.277
emapt_100_ms=43.353
coverage_curve_ms,coverage_fraction
13.537,0.071
13.541,0.143
14.543,0.214
15.397,0.286
16.941,0.357
17.100,0.429
19.984,0.500
20.675,0.571
22.810,0.643
25.217,0.714
28.429,0.786
33.277,0.857
35.287,0.929
43.353,1.000
