vehicle_count,udp_share_pct_baseline_mean,udp_share_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_std,policy_reaction_ms_sdnv_mean,policy_reaction_ms_sdnv_std,priority_enforcement_ratio_baseline_mean,priority_enforcement_ratio_sdnv_mean,emapt_50_baseline_mean,emapt_50_sdnv_mean,emapt_90_baseline_mean,emapt_90_sdnv_mean,emapt_100_baseline_mean,emapt_100_sdnv_mean
5,18.38235294117647,68.0834839680416,89.44177927927926,0.0,1156.952,0.0,0.11261261261261261,1.0665870281685632,7.497,1504.356,7.664,1505.631,7.668,1508.997
10,17.931467527807683,67.88813231223786,89.66499070936715,0.0,3915.022,0.0,0.10930156301235108,1.0575855322299192,16.72,87.219,40.013,93.635,1011.297,98.765
15,18.24634808108676,67.64386499643106,89.31199016649904,0.0,3490.88,0.0,0.1115208403173539,1.0455110981003064,13.019,58.231,27.594,72.885,1069.878,92.261
20,19.950269706631378,67.50794181292768,87.94501503006012,0.0,4811.8910000000005,0.0,0.12412324649298596,1.0389934231716313,27.323,169.235,39.809,203.277,1047.768,214.656
