vehicles,emergency_latency_avg_ms_baseline_mean,emergency_latency_avg_ms_baseline_std,emergency_latency_avg_ms_sdnv_mean,emergency_latency_avg_ms_sdnv_std,emergency_latency_avg_ms_unit,background_latency_avg_ms_baseline_mean,background_latency_avg_ms_baseline_std,background_latency_avg_ms_sdnv_mean,background_latency_avg_ms_sdnv_std,background_latency_avg_ms_unit,udp_bw_mbps_baseline_mean,udp_bw_mbps_baseline_std,udp_bw_mbps_sdnv_mean,udp_bw_mbps_sdnv_std,udp_bw_mbps_unit,throughput_mbps_baseline_mean,throughput_mbps_baseline_std,throughput_mbps_sdnv_mean,throughput_mbps_sdnv_std,throughput_mbps_unit,emapt_50_ms_baseline_mean,emapt_50_ms_baseline_std,emapt_50_ms_sdnv_mean,emapt_50_ms_sdnv_std,emapt_90_ms_baseline_mean,emapt_90_ms_baseline_std,emapt_90_ms_sdnv_mean,emapt_90_ms_sdnv_std,emapt_100_ms_baseline_mean,emapt_100_ms_baseline_std,emapt_100_ms_sdnv_mean,emapt_100_ms_sdnv_std,policy_reaction_ms_sdnv_mean,policy_reaction_ms_sdnv_std,policy_reaction_ms_unit,priority_enforcement_ratio_sdnv_mean,priority_enforcement_ratio_sdnv_std,priority_enforcement_ratio_unit
2,43.1422,55.53210076343232,5.032500000000001,8.451281894876463,ms,43.112,55.53370922241733,30.87575,17.68911997763974,ms,10.0,0.0,10.02,0.044721359549995635,mbps,20.56,5.352382647008713,1.756,0.20007498594277104,mbps,5.1126000000000005,3.7508542760283294,38.2528,50.59026211337514,5.1126000000000005,3.7508542760283294,38.2528,50.59026211337514,5.1126000000000005,3.7508542760283294,38.2528,50.59026211337514,322.9076,76.9361401247814,ms,5.779448234037433,0.8044356333979313,ratio
4,82.4872,73.8769502023466,10.718,13.444786573240945,ms,82.8744,74.14206913959173,37.8816,19.588390370318844,ms,10.0,0.0,10.0,0.0,mbps,18.72,5.885745492288976,1.818,0.06685805860178717,mbps,5.2494000000000005,3.9295896477876675,16.652,20.525323225225957,213.87439999999998,450.15020545402393,20.6294,21.83944970231622,417.70640000000003,553.1747786091662,23.6772,23.320891796841735,287.7532,38.276622463326085,ms,5.506588680572846,0.20525533279353042,ratio
6,115.8768,106.47074775354966,16.4134,14.183100041951336,ms,115.9304,107.1550458881895,47.6632,24.1432429097667,ms,10.0,0.0,10.0,0.0,mbps,17.400000000000002,6.8187242208495285,1.78,0.07314369419163903,mbps,10.043,6.4179825101039345,17.7982,6.2148277691340725,420.6488,552.5433495515986,24.3266,4.485875979114893,461.8638,524.1832470269343,75.7946,79.90852616773756,305.5966,49.789288333937854,ms,5.62546706040672,0.22783059859515578,ratio
8,67.924,89.87508078716814,34.7984,25.510771544584852,ms,67.92060000000001,89.83654895586763,67.5608,26.317739287408404,ms,10.0,0.0,10.0,0.0,mbps,20.9,5.685507892879932,1.696,0.13649175799292793,mbps,8.9656,3.4144160994231503,35.5616,14.872595227464506,215.307,445.426628350843,48.468,18.292396029498157,628.256,553.302652585364,870.5518000000001,815.2188570366857,329.2382,76.04055580215075,ms,5.928592152779778,0.504227587014286,ratio
10,2.4842,0.4397041050524774,8.322799999999999,16.435161748519544,ms,2.5024,0.19811940843844658,34.0434,21.766942166965027,ms,10.0,0.0,10.0,0.0,mbps,24.48,0.4494441010848855,1.826,0.08173126696681027,mbps,219.1126,460.5833824947444,14.1936,3.6299873002532665,435.9328,548.7683991869429,651.5842,527.0342479414408,831.1568,453.07421005415875,661.4064,525.2454698793698,276.6268,51.528461287913515,ms,5.485801358666634,0.2611228590918022,ratio
