vehicle_count,udp_share_pct_baseline_mean,udp_share_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_std,policy_reaction_ms_sdnv_mean,policy_reaction_ms_sdnv_std,priority_enforcement_ratio_baseline_mean,priority_enforcement_ratio_sdnv_mean,emapt_50_baseline_mean,emapt_50_sdnv_mean,emapt_90_baseline_mean,emapt_90_sdnv_mean,emapt_100_baseline_mean,emapt_100_sdnv_mean
5,36.25815808556926,68.23609689525757,73.52104664391354,0.0,1332.75,0.0,0.2844141069397042,1.0741138560687433,3.273,3.57,4.131,4.02,5.149,52.626
10,35.8179537717255,68.10902896081772,73.86934673366834,0.0,2277.819,0.0,0.27917364600781686,1.0683760683760684,6.884,8.16,18.201,48.896,1036.885,63.69
15,35.72194424588992,67.95229033573467,73.78092855157075,0.0,4027.341,0.0,0.2780094523213789,1.0603329445445868,17.11,20.02,70.28,24.118,1026.433,30.92
20,35.43295916014968,68.9055927177436,75.23207909914858,0.0,5192.925,0.0,0.27464982147761613,1.1077844311377245,56.28,35.112,87.998,45.791,1062.374,270.275
