emapt_50_ms=103.698
emapt_90_ms=121.322
emapt_100_ms=338.635
coverage_curve_ms,coverage_fraction
70.634,0.071
73.491,0.143
82.077,0.214
87.591,0.286
88.078,0.357
101.077,0.429
103.698,0.500
105.744,0.571
107.198,0.643
109.222,0.714
113.259,0.786
121.322,0.857
135.782,0.929
338.635,1.000
