vehicles,latency_avg_ms_baseline_mean,latency_avg_ms_baseline_std,latency_avg_ms_sdnv_mean,latency_avg_ms_sdnv_std,latency_avg_ms_unit,jitter_ms_baseline_mean,jitter_ms_baseline_std,jitter_ms_sdnv_mean,jitter_ms_sdnv_std,jitter_ms_unit,udp_bw_mbps_baseline_mean,udp_bw_mbps_baseline_std,udp_bw_mbps_sdnv_mean,udp_bw_mbps_sdnv_std,udp_bw_mbps_unit,throughput_mbps_baseline_mean,throughput_mbps_baseline_std,throughput_mbps_sdnv_mean,throughput_mbps_sdnv_std,throughput_mbps_unit,emapt_50_ms_baseline_mean,emapt_50_ms_baseline_std,emapt_50_ms_sdnv_mean,emapt_50_ms_sdnv_std,emapt_90_ms_baseline_mean,emapt_90_ms_baseline_std,emapt_90_ms_sdnv_mean,emapt_90_ms_sdnv_std,emapt_100_ms_baseline_mean,emapt_100_ms_baseline_std,emapt_100_ms_sdnv_mean,emapt_100_ms_sdnv_std
5,329.2096,337.96108669756643,214.3328,297.6921865319948,ms,0.042,0.03780872915081913,0.1656,0.19971805126227324,ms,9.864,0.3572534114602684,10.02,0.044721359549995635,mbps,226.6,275.06283827518394,13.92,0.08366600265340725,mbps,632.142,564.2863035924229,209.4342,457.6221316863947,634.5632,566.1574540909093,211.2566,459.02640003141425,1044.8954,723.9028321696911,211.77800000000002,459.1598232810663
10,399.1218,888.6630156548093,551.4073999999999,787.3027405771556,ms,0.1344,0.2582775638726678,0.18,0.3308647760037324,ms,10.036,0.09181503144910387,10.0,0.0,mbps,290.9,144.96223646177648,13.94,0.13416407864998692,mbps,1675.1180000000002,549.433442264393,1033.6258,4.203511115722195,1690.6784,551.0037917739768,1041.2564,3.43331476855819,1695.6328,551.0140594696292,1241.5268,442.9574742107869
15,960.2719999999999,893.3063188646433,458.3838,665.4152265940419,ms,0.0886,0.12046700793163247,0.3654,0.6304326292317047,ms,9.994,0.12136721138758975,9.97,0.10198039027185553,mbps,120.28,119.36970721250849,13.8,0.3391164991562638,mbps,21.2256,2.1301937235847817,441.17699999999996,921.7693104283196,34.0406,5.865015328198214,460.14459999999997,916.5807099605577,45.296800000000005,8.881040181194994,672.1476,906.6598678866844
20,465.9938,932.7203182257799,583.4154,1190.6396949960554,ms,0.1202,0.20643570427617408,0.3322,0.38784107569982834,ms,9.962,0.13736811857195974,9.918,0.10825894882179468,mbps,155.26,75.01725134927298,13.86,0.11401754250991401,mbps,25.118,7.292813414588364,12.0862,2.3198762251465057,36.818599999999996,13.856926834619573,43.571600000000004,41.83242596718483,44.9638,20.17366281070446,227.9852,438.14120805135417
