emapt_50_ms=12.839
emapt_90_ms=14.265
emapt_100_ms=1143.241
coverage_curve_ms,coverage_fraction
6.041,0.071
6.252,0.143
6.336,0.214
6.432,0.286
9.348,0.357
9.986,0.429
12.839,0.500
13.018,0.571
14.011,0.643
14.101,0.714
14.177,0.786
14.265,0.857
14.337,0.929
1143.241,1.000
