emapt_50_ms=21.581
emapt_90_ms=30.783
emapt_100_ms=30.934
coverage_curve_ms,coverage_fraction
13.842,0.053
14.826,0.105
17.331,0.158
18.175,0.211
19.943,0.263
21.438,0.316
21.446,0.368
21.446,0.421
21.581,0.474
21.637,0.526
21.742,0.579
21.799,0.632
25.674,0.684
25.745,0.737
25.751,0.789
25.818,0.842
30.783,0.895
30.880,0.947
30.934,1.000
