vehicles,emergency_latency_avg_ms_baseline_mean,emergency_latency_avg_ms_baseline_std,emergency_latency_avg_ms_sdnv_mean,emergency_latency_avg_ms_sdnv_std,emergency_latency_avg_ms_unit,background_latency_avg_ms_baseline_mean,background_latency_avg_ms_baseline_std,background_latency_avg_ms_sdnv_mean,background_latency_avg_ms_sdnv_std,background_latency_avg_ms_unit,udp_bw_mbps_baseline_mean,udp_bw_mbps_baseline_std,udp_bw_mbps_sdnv_mean,udp_bw_mbps_sdnv_std,udp_bw_mbps_unit,throughput_mbps_baseline_mean,throughput_mbps_baseline_std,throughput_mbps_sdnv_mean,throughput_mbps_sdnv_std,throughput_mbps_unit,emapt_50_ms_baseline_mean,emapt_50_ms_baseline_std,emapt_50_ms_sdnv_mean,emapt_50_ms_sdnv_std,emapt_90_ms_baseline_mean,emapt_90_ms_baseline_std,emapt_90_ms_sdnv_mean,emapt_90_ms_sdnv_std,emapt_100_ms_baseline_mean,emapt_100_ms_baseline_std,emapt_100_ms_sdnv_mean,emapt_100_ms_sdnv_std,policy_reaction_ms_sdnv_mean,policy_reaction_ms_sdnv_std,policy_reaction_ms_unit,priority_enforcement_ratio_sdnv_mean,priority_enforcement_ratio_sdnv_std,priority_enforcement_ratio_unit
5,68.7258,148.8450013510699,99.5594,139.4717295899065,ms,70.5166,153.24201627262676,101.5152,139.5611924630196,ms,10.0,0.0,9.952,0.0460434577328853,mbps,21.75,6.822572828486332,21.14,5.728699677937394,mbps,3.288,0.6024437733100078,4.8862,2.833643890823263,5.619,2.8653453544032,7.748,2.895294112866601,51.7936,58.02663159963707,31.5962,24.634558179516837,287.2354,89.92224735458963,ms,0.5050564551492023,0.15899923394249896,ratio
10,193.001,326.2018416931456,59.1962,127.55431731305687,ms,189.16580000000002,319.28409709958936,61.995799999999996,131.0414553498243,ms,10.02,0.044721359549995635,9.943999999999999,0.044497190922574384,mbps,18.504,8.726515914154973,22.66,6.0177238221772855,mbps,8.5408,3.7902685524907067,8.7762,3.309103685290021,280.7586,422.231953567349,420.401,357.6351947501812,488.45480000000003,496.50035763602426,426.7348,361.6125942859291,246.849,51.414680782827,ms,0.4813602763231659,0.20021265734962052,ratio
15,55.5385,104.56963016255403,201.1354,183.1564042022555,ms,55.6665,104.65055238745755,203.311,183.90002084828592,ms,10.04,0.08944271909999127,9.982000000000001,0.02049390153191876,mbps,17.144,10.103250961942894,17.66,6.942838036422857,mbps,31.9216,39.22248492000475,24.637,11.970837731754617,88.8706,42.73898712300047,372.46180000000004,695.8835059955798,701.1838,542.8977489363904,982.9826,546.0785476932783,222.45499999999998,12.215953503513349,ms,0.634586040924177,0.22099169030571295,ratio
20,149.0258,198.63261504143776,91.61025,178.16930093289545,ms,150.884,200.9083521496804,91.23150000000001,174.9796782038798,ms,10.0,0.0,9.976,0.019493588689618105,mbps,18.0,8.451627062288065,17.726,10.877167829908666,mbps,225.9234,461.80640561473376,19.3408,5.294877307360388,710.2067999999999,482.23660292557634,712.5864,443.7003251664349,923.7868,321.3975107716299,752.5372,473.19646384741725,240.4272,39.958425309313675,ms,1.1379574313923604,1.3176748451833797,ratio
