emapt_50_ms=13.493
emapt_90_ms=112.330
emapt_100_ms=118.084
coverage_curve_ms,coverage_fraction
4.594,0.071
5.419,0.143
6.524,0.214
12.482,0.286
12.512,0.357
12.565,0.429
13.493,0.500
14.055,0.571
14.496,0.643
17.640,0.714
20.630,0.786
112.330,0.857
115.560,0.929
118.084,1.000
