emapt_50_ms=7.012
emapt_90_ms=13.789
emapt_100_ms=1043.933
coverage_curve_ms,coverage_fraction
4.834,0.143
4.962,0.286
7.012,0.429
8.419,0.571
8.936,0.714
13.789,0.857
1043.933,1.000
