emapt_50_ms=21.891
emapt_90_ms=34.074
emapt_100_ms=45.344
coverage_curve_ms,coverage_fraction
14.078,0.071
14.138,0.143
14.719,0.214
15.702,0.286
17.769,0.357
18.539,0.429
21.891,0.500
22.855,0.571
25.766,0.643
29.768,0.714
29.781,0.786
34.074,0.857
37.782,0.929
45.344,1.000
