emapt_50_ms=9.783
emapt_90_ms=17.469
emapt_100_ms=20.993
coverage_curve_ms,coverage_fraction
3.045,0.125
4.328,0.250
9.503,0.375
9.783,0.500
10.084,0.625
16.320,0.750
17.469,0.875
20.993,1.000
