emapt_50_ms=27.101
emapt_90_ms=34.868
emapt_100_ms=43.228
coverage_curve_ms,coverage_fraction
13.408,0.071
13.437,0.143
18.473,0.214
20.641,0.286
25.234,0.357
26.949,0.429
27.101,0.500
28.637,0.571
29.732,0.643
33.217,0.714
33.625,0.786
34.868,0.857
37.192,0.929
43.228,1.000
