emapt_50_ms=10.545
emapt_90_ms=15.121
emapt_100_ms=18.544
coverage_curve_ms,coverage_fraction
2.495,0.053
3.915,0.105
4.071,0.158
5.177,0.211
6.456,0.263
6.568,0.316
6.569,0.368
6.703,0.421
10.545,0.474
10.546,0.526
10.548,0.579
10.555,0.632
14.327,0.684
14.522,0.737
14.913,0.789
15.058,0.842
15.121,0.895
15.273,0.947
18.544,1.000
