stage_pct,emergency_latency_avg_ms_baseline_mean,emergency_latency_avg_ms_baseline_std,emergency_latency_avg_ms_sdnv_mean,emergency_latency_avg_ms_sdnv_std,emergency_latency_avg_ms_unit,primary_udp_bw_mbps_baseline_mean,primary_udp_bw_mbps_baseline_std,primary_udp_bw_mbps_sdnv_mean,primary_udp_bw_mbps_sdnv_std,primary_udp_bw_mbps_unit,helper_udp_bw_mbps_baseline_mean,helper_udp_bw_mbps_baseline_std,helper_udp_bw_mbps_sdnv_mean,helper_udp_bw_mbps_sdnv_std,helper_udp_bw_mbps_unit,udp_bw_mbps_baseline_mean,udp_bw_mbps_baseline_std,udp_bw_mbps_sdnv_mean,udp_bw_mbps_sdnv_std,udp_bw_mbps_unit,throughput_mbps_baseline_mean,throughput_mbps_baseline_std,throughput_mbps_sdnv_mean,throughput_mbps_sdnv_std,throughput_mbps_unit,udp_share_pct_baseline_mean,udp_share_pct_baseline_std,udp_share_pct_sdnv_mean,udp_share_pct_sdnv_std,udp_share_pct_unit,emapt_50_ms_baseline_mean,emapt_50_ms_baseline_std,emapt_50_ms_sdnv_mean,emapt_50_ms_sdnv_std,emapt_90_ms_baseline_mean,emapt_90_ms_baseline_std,emapt_90_ms_sdnv_mean,emapt_90_ms_sdnv_std,emapt_100_ms_baseline_mean,emapt_100_ms_baseline_std,emapt_100_ms_sdnv_mean,emapt_100_ms_sdnv_std,priority_enforcement_ratio_baseline_mean,priority_enforcement_ratio_baseline_std,priority_enforcement_ratio_sdnv_mean,priority_enforcement_ratio_sdnv_std,traffic_suppression_efficiency_pct_sdnv_mean,traffic_suppression_efficiency_pct_sdnv_std,policy_reaction_ms_sdnv_mean,policy_reaction_ms_sdnv_std
20,48.973800000000004,65.54293631048276,134.8218,191.7286564319481,ms,10.0,0.0,10.0,0.0,mbps,1.9998,0.0008366600265339834,1.9896,0.014310835055998667,mbps,11.9998,0.0008366600265336118,11.9896,0.014310835055999015,mbps,37.948,5.30410878470644,34.036,11.618032535674875,mbps,24.261135445800246,2.7887122381379634,27.60201057016928,7.683066446386489,percent,3.1482,1.524141955330933,3.1538,2.0034872597548503,5.1286000000000005,2.7905985558657482,7.8422,2.9064943144620123,58.474399999999996,64.51710283172982,133.8596,231.16564985914323,0.32180218721603554,0.05012262204495653,0.3943656227023734,0.15447760173365305,8.06614772369831,36.66930110913616,1211.4180000000001,178.55240346744145
40,82.05199999999999,82.56019144539334,117.464,194.58415364566562,ms,10.0,0.0,10.0,0.0,mbps,13.984,0.035777087639996666,13.462,0.22687000683210662,mbps,23.984,0.035777087639995875,23.462,0.22687000683210565,mbps,25.368,5.643436010091724,28.344,6.215595707573007,mbps,49.142523970534924,5.944222783599898,45.879196291011326,6.372117142211899,percent,3.4432,1.5013063311662946,4.3078,2.391300211182193,6.0772,2.0260842035808873,5.8454,1.8151536574075486,252.6652,465.63895103577835,39.4436,49.39853239014293,0.9899339266143288,0.25402854529100344,0.8711271004697556,0.2491142775034982,-18.006262292430513,46.19949191950989,1350.9372,206.43282596210324
60,289.5306,291.7042911148206,30.4662,64.71041737386648,ms,9.964,0.05366563145999471,10.0,0.0,mbps,24.502,1.5565410370433543,24.252,0.5051930324143445,mbps,34.466,1.529339726810236,34.252,0.5051930324143461,mbps,14.591999999999999,6.653992786290048,20.9,2.42126000256065,mbps,71.12653186045128,10.257039098998199,62.19449356584594,3.2243847729351542,percent,4.8986,4.427243532944624,4.82,3.111391891099544,8.8916,5.309983126150215,8.1796,6.354444924617727,180.6782,232.95907947040828,61.0622,88.78383319726626,2.8293196155162197,1.3122519413289238,1.6626134758224635,0.2564257526130681,-68.33335287329896,77.44298203055287,1199.0334,100.47222435230542
80,94.7602,208.37047487276118,1.5588,0.12070294114063668,ms,9.974,0.05813776741499488,10.0,0.0,mbps,24.614,5.8082725487015505,34.513999999999996,0.6138240790324172,mbps,34.588,5.750440852665124,44.513999999999996,0.6138240790324172,mbps,17.804199999999998,8.461343463067788,11.088,0.06610597552415357,mbps,66.66348152513328,15.449594671126189,80.05643641616524,0.23620944438922462,percent,3.9136,2.2467195641646067,4.6766000000000005,2.696813267543751,8.3646,5.188306496343484,7.946,4.092347431487214,68.402,97.69211525501942,77.6318,144.62038782170373,4.49445603387421,6.729572836837559,4.014718361537029,0.06008896794515691,-22.437615928728405,158.59058627709481,1442.1984,483.6929042220901
