emapt_50_ms=10.094
emapt_90_ms=91.407
emapt_100_ms=98.486
coverage_curve_ms,coverage_fraction
0.962,0.071
1.284,0.143
1.520,0.214
8.262,0.286
8.496,0.357
9.753,0.429
10.094,0.500
10.164,0.571
11.817,0.643
11.899,0.714
19.112,0.786
91.407,0.857
91.656,0.929
98.486,1.000
