emapt_50_ms=1036.763
emapt_90_ms=1048.514
emapt_100_ms=1056.295
coverage_curve_ms,coverage_fraction
1009.274,0.125
1033.667,0.250
1036.413,0.375
1036.763,0.500
1038.776,0.625
1047.305,0.750
1048.514,0.875
1056.295,1.000
