vehicles,latency_avg_ms_baseline,latency_avg_ms_sdnv,jitter_ms_baseline,jitter_ms_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,bg_tcp_mbps_baseline,bg_tcp_mbps_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv,traffic_suppression_eff,policy_reaction_s,priority_ratio_baseline,priority_ratio_sdnv
5,0.547,4.064,0.019,0.016,9.99,10.0,625.0,13.8,1024.18,3.031,1028.546,4.996,1035.735,5.441,0.9779200000000001,0.084719,0.015984,0.7246376811594203
9,1.44,1.606,0.071,0.043,10.0,10.0,418.0,14.1,1027.37,1044.218,1038.609,1056.638,1041.264,1058.277,0.966267942583732,0.086683,0.023923444976076555,0.7092198581560284
13,6.263,627.967,0.03,1.654,10.0,9.77,287.0,14.0,1041.044,1041.578,1048.896,2046.814,1053.445,2051.402,0.9512195121951219,0.196486,0.03484320557491289,0.6978571428571428
17,5.644,855.179,0.006,0.29,9.94,9.99,188.0,12.3,2089.457,36.295,2097.646,52.199,2105.244,57.636,0.9345744680851064,0.102311,0.05287234042553191,0.8121951219512195
20,41.136,28.833,0.028,0.03,9.89,9.85,210.0,14.0,30.325,14.049,49.879,34.162,81.586,48.229,0.9333333333333333,0.204045,0.0470952380952381,0.7035714285714285
